Metric,Value
design__lint_errors__count,0
design__lint_timing_constructs__count,0
design__lint_warnings__count,3
design__latch__count,0
design__instance__count,1478
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.002001045737415552
power__switching__total,0.0021795369684696198
power__leakage__total,1.3612114990735336e-08
power__total,0.004180596210062504
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.0
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.0
timing__hold__ws__corner:nom_tt_025C_1v80,0.315388
timing__setup__ws__corner:nom_tt_025C_1v80,0.916176
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,18
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,0.107278
timing__setup__ws,-5.552696
timing__hold__tns,0.0
timing__setup__tns,-253.80059799999998
timing__hold__wns,0.0
timing__setup__wns,-5.552696
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,57
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 154.825 165.545
design__core__bbox,5.52 10.88 149.04 152.32
design__io,82
design__die__area,25630.5
design__core__area,20299.5
design__instance__area,10314.9
design__instance__count__stdcell,1478
design__instance__area__stdcell,10314.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.508136
design__instance__utilization__stdcell,0.508136
floorplan__design__io,80
design__io__hpwl,3328040
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,51.86
design__instance__displacement__mean,0.032
design__instance__displacement__max,4.14
route__wirelength__estimated,19493.5
design__violations,0
design__instance__count__setup_buffer,4
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
