theta_r, theta_q, sin_r, sin_q, cos_r, cos_q, sin_err, cos_err
0.000,     0,     0,     1, 65535, 65535, 1.000, 0.000
0.012,   500,   785,  3140, 65530, 65459, 2356.000, 71.000
0.024,  1000,  1570,  6273, 65516, 65232, 7059.000, 355.000
0.036,  1500,  2355,  9391, 65492, 64858, 14095.000, 989.000
0.048,  2000,  3140, 12494, 65459, 64333, 23449.000, 2115.000
0.060,  2500,  3924, 15559, 65417, 63660, 35084.000, 3872.000
0.072,  3000,  4708, 18593, 65365, 62842, 48969.000, 6395.000
0.084,  3500,  5491, 21579, 65304, 61879, 65057.000, 9820.000
0.096,  4000,  6273, 24519, 65234, 60773, 83303.000, 14281.000
0.108,  4500,  7054, 27404, 65154, 59529, 103653.000, 19906.000
0.120,  5000,  7835, 30225, 65064, 58147, 126043.000, 26823.000
0.132,  5500,  8614, 32978, 64966, 56632, 150407.000, 35157.000
0.144,  6000,  9392, 35650, 64858, 54989, 176665.000, 45026.000
0.156,  6500, 10168, 38251, 64741, 53213, 204748.000, 56554.000
0.168,  7000, 10944, 40755, 64614, 51321, 234559.000, 69847.000
0.180,  7500, 11717, 43164, 64478, 49310, 266006.000, 85015.000
0.192,  8000, 12489, 45479, 64333, 47186, 298996.000, 102162.000
0.204,  8500, 13259, 47691, 64179, 44947, 333428.000, 121394.000
0.216,  9000, 14027, 49788, 64016, 42612, 369189.000, 142798.000
0.228,  9500, 14793, 51773, 63843, 40178, 406169.000, 166463.000
0.240, 10000, 15557, 53635, 63661, 37656, 444247.000, 192468.000
0.252, 10500, 16319, 55380, 63470, 35040, 483308.000, 220898.000
0.264, 11000, 17079, 56997, 63270, 32343, 523226.000, 251825.000
0.276, 11500, 17836, 58479, 63061, 29577, 563869.000, 285309.000
0.288, 12000, 18590, 59831, 62842, 26738, 605110.000, 321413.000
0.300, 12500, 19342, 61042, 62615, 23843, 646810.000, 360185.000
0.312, 13000, 20091, 62117, 62379, 20886, 688836.000, 401678.000
0.324, 13500, 20837, 63045, 62133, 17889, 731044.000, 445922.000
0.336, 14000, 21580, 63829, 61879, 14849, 773293.000, 492952.000
0.348, 14500, 22320, 64469, 61616, 11773, 815442.000, 542795.000
0.360, 15000, 23057, 64959, 61344,  8672, 857344.000, 595467.000
0.372, 15500, 23791, 65299, 61064,  5544, 898852.000, 650987.000
0.384, 16000, 24521, 65490, 60774,  2413, 939821.000, 709348.000
0.395, 16500, 25247, 65531, 60476,   735, 980105.000, 769089.000
0.407, 17000, 25970, 65420, 60169,  3874, 1019555.000, 825384.000
0.419, 17500, 26689, 65160, 59853,  7007, 1058026.000, 878230.000
0.431, 18000, 27405, 64749, 59529, 10115, 1095370.000, 927644.000
0.443, 18500, 28116, 64190, 59197, 13203, 1131444.000, 973638.000
0.455, 19000, 28824, 63481, 58855, 16271, 1166101.000, 1016222.000
0.467, 19500, 29527, 62630, 58506, 19291, 1199204.000, 1055437.000
0.479, 20000, 30226, 61632, 58148, 22276, 1230610.000, 1091309.000
0.491, 20500, 30921, 60495, 57781, 25199, 1260184.000, 1123891.000
0.503, 21000, 31611, 59218, 57406, 28064, 1287791.000, 1153233.000
0.515, 21500, 32297, 57804, 57023, 30875, 1313298.000, 1179381.000
0.527, 22000, 32978, 56258, 56632, 33610, 1336578.000, 1202403.000
0.539, 22500, 33654, 54586, 56233, 36266, 1357510.000, 1222370.000
0.551, 23000, 34325, 52786, 55826, 38836, 1375971.000, 1239360.000
0.563, 23500, 34992, 50859, 55410, 41328, 1391838.000, 1253442.000
0.575, 24000, 35654, 48824, 54987, 43715, 1405008.000, 1264714.000
0.587, 24500, 36310, 46674, 54556, 46004, 1415372.000, 1273266.000
0.599, 25000, 36961, 44413, 54117, 48189, 1422824.000, 1279194.000
0.611, 25500, 37607, 42050, 53670, 50265, 1427267.000, 1282599.000
0.623, 26000, 38248, 39596, 53215, 52218, 1428615.000, 1283596.000
0.635, 26500, 38883, 37047, 52753, 54058, 1430451.000, 1284901.000
0.647, 27000, 39512, 34416, 52283, 55769, 1435547.000, 1288387.000
0.659, 27500, 40136, 31699, 51806, 57356, 1443984.000, 1293937.000
0.671, 28000, 40754, 28921, 51321, 58805, 1455817.000, 1301421.000
0.683, 28500, 41366, 26071, 50829, 60126, 1471112.000, 1310718.000
0.695, 29000, 41972, 23157, 50330, 61306, 1489927.000, 1321694.000
0.707, 29500, 42572, 20196, 49823, 62345, 1512303.000, 1334216.000
0.719, 30000, 43166, 17177, 49309, 63243, 1538292.000, 1348150.000
0.731, 30500, 43754, 14132, 48789, 63991, 1567914.000, 1363352.000
0.743, 31000, 44336, 11053, 48261, 64597, 1601197.000, 1379688.000
0.755, 31500, 44911,  7945, 47726, 65052, 1638163.000, 1397014.000
0.767, 32000, 45479,  4820, 47184, 65356, 1678822.000, 1415186.000
0.779, 32500, 46042,  1678, 46636, 65512, 1723186.000, 1434062.000
0.791, 33000, 46597,  1464, 46081, 65518, 1768319.000, 1453499.000
0.803, 33500, 47146,  4605, 45519, 65373, 1810860.000, 1473353.000
0.815, 34000, 47688,  7732, 44951, 65076, 1850816.000, 1493478.000
0.827, 34500, 48224, 10843, 44376, 64631, 1888197.000, 1513733.000
0.839, 35000, 48752, 13924, 43795, 64038, 1923025.000, 1533976.000
0.851, 35500, 49273, 16981, 43208, 63295, 1955317.000, 1554063.000
0.863, 36000, 49788, 19995, 42614, 62411, 1985110.000, 1573860.000
0.875, 36500, 50295, 22959, 42014, 61381, 2012446.000, 1593227.000
0.887, 37000, 50795, 25873, 41408, 60209, 2037368.000, 1612028.000
0.899, 37500, 51287, 28725, 40797, 58901, 2059930.000, 1630132.000
0.911, 38000, 51772, 31520, 40179, 57455, 2080182.000, 1647408.000
0.923, 38500, 52250, 34232, 39556, 55883, 2098200.000, 1663735.000
0.935, 39000, 52720, 36871, 38927, 54177, 2114049.000, 1678985.000
0.947, 39500, 53183, 39423, 38292, 52350, 2127809.000, 1693043.000
0.959, 40000, 53638, 41888, 37652, 50399, 2139559.000, 1705790.000
0.971, 40500, 54086, 44257, 37007, 48331, 2149388.000, 1717114.000
0.983, 41000, 54525, 46523, 36356, 46156, 2157390.000, 1726914.000
0.995, 41500, 54957, 48681, 35700, 43875, 2163666.000, 1735089.000
1.007, 42000, 55381, 50725, 35038, 41493, 2168322.000, 1741544.000
1.019, 42500, 55797, 52657, 34372, 39011, 2171462.000, 1746183.000
1.031, 43000, 56205, 54465, 33701, 36445, 2173202.000, 1748927.000
1.043, 43500, 56605, 56151, 33025, 33790, 2173656.000, 1749692.000
