theta_r, theta_q, sin_r, sin_q, cos_r, cos_q, sin_err, cos_err
0.000,     0,     0,     0, 32768, 32767, 0.000, 1.000
0.048,   500,  1570,  1570, 32730, 32729, 0.000, 2.000
0.096,  1000,  3136,  3136, 32617, 32616, 0.000, 3.000
0.144,  1500,  4696,  4695, 32429, 32429, 1.000, 3.000
0.192,  2000,  6244,  6247, 32167, 32166, 4.000, 4.000
0.240,  2500,  7779,  7779, 31831, 31830, 4.000, 5.000
0.288,  3000,  9295,  9296, 31421, 31421, 5.000, 5.000
0.336,  3500, 10790, 10789, 30940, 30939, 6.000, 6.000
0.384,  4000, 12260, 12259, 30387, 30386, 7.000, 7.000
0.431,  4500, 13702, 13702, 29765, 29764, 7.000, 8.000
0.479,  5000, 15113, 15112, 29074, 29073, 8.000, 9.000
0.527,  5500, 16489, 16489, 28316, 28316, 8.000, 9.000
0.575,  6000, 17827, 17825, 27494, 27494, 10.000, 9.000
0.623,  6500, 19124, 19125, 26608, 26606, 11.000, 11.000
0.671,  7000, 20377, 20377, 25661, 25660, 11.000, 12.000
0.719,  7500, 21583, 21582, 24655, 24655, 12.000, 12.000
0.767,  8000, 22740, 22739, 23592, 23593, 13.000, 13.000
0.815,  8500, 23844, 23845, 22475, 22473, 14.000, 15.000
0.863,  9000, 24894, 24894, 21307, 21306, 14.000, 16.000
0.911,  9500, 25886, 25886, 20090, 20089, 14.000, 17.000
0.959, 10000, 26819, 26817, 18826, 18828, 16.000, 19.000
1.007, 10500, 27691, 27690, 17519, 17520, 17.000, 20.000
1.055, 11000, 28498, 28498, 16172, 16171, 17.000, 21.000
1.103, 11500, 29241, 29239, 14788, 14788, 19.000, 21.000
1.151, 12000, 29916, 29915, 13370, 13369, 20.000, 22.000
1.198, 12500, 30522, 30521, 11921, 11921, 21.000, 22.000
1.246, 13000, 31058, 31058, 10445, 10443, 21.000, 24.000
1.294, 13500, 31523, 31522,  8944,  8944, 22.000, 24.000
1.342, 14000, 31915, 31914,  7423,  7424, 23.000, 25.000
1.390, 14500, 32235, 32234,  5885,  5886, 24.000, 26.000
1.438, 15000, 32480, 32479,  4334,  4336, 25.000, 28.000
1.486, 15500, 32650, 32649,  2773,  2772, 26.000, 29.000
1.534, 16000, 32745, 32745,  1205,  1206, 26.000, 30.000
1.582, 16500, 32765, 32765,  -365,  -367, 26.000, 32.000
1.630, 17000, 32710, 32710, -1934, -1937, 26.000, 35.000
1.678, 17500, 32580, 32580, -3500, -3503, 26.000, 38.000
1.726, 18000, 32375, 32374, -5057, -5057, 27.000, 38.000
1.774, 18500, 32095, 32095, -6602, -6601, 27.000, 39.000
1.822, 19000, 31742, 31740, -8133, -8135, 29.000, 41.000
1.870, 19500, 31316, 31315, -9645, -9645, 30.000, 41.000
1.918, 20000, 30818, 30816, -11134, -11138, 32.000, 45.000
1.965, 20500, 30249, 30247, -12598, -12599, 34.000, 46.000
2.013, 21000, 29610, 29609, -14033, -14032, 35.000, 47.000
2.061, 21500, 28904, 28902, -15436, -15437, 37.000, 48.000
2.109, 22000, 28131, 28129, -16803, -16805, 39.000, 50.000
2.157, 22500, 27293, 27293, -18132, -18133, 39.000, 51.000
2.205, 23000, 26393, 26393, -19419, -19418, 39.000, 52.000
2.253, 23500, 25432, 25429, -20662, -20664, 42.000, 54.000
2.301, 24000, 24413, 24412, -21857, -21857, 43.000, 54.000
2.349, 24500, 23337, 23337, -23001, -23002, 43.000, 55.000
2.397, 25000, 22208, 22206, -24093, -24094, 45.000, 56.000
2.445, 25500, 21028, 21025, -25130, -25132, 48.000, 58.000
2.493, 26000, 19800, 19798, -26109, -26109, 50.000, 58.000
2.541, 26500, 18526, 18523, -27027, -27029, 53.000, 60.000
2.589, 27000, 17210, 17208, -27884, -27884, 55.000, 60.000
2.637, 27500, 15854, 15849, -28677, -28678, 60.000, 61.000
2.685, 28000, 14461, 14460, -29404, -29402, 61.000, 63.000
2.732, 28500, 13036, 13035, -30063, -30063, 62.000, 63.000
2.780, 29000, 11580, 11578, -30653, -30653, 64.000, 63.000
2.828, 29500, 10098, 10098, -31173, -31172, 64.000, 64.000
2.876, 30000,  8592,  8588, -31621, -31621, 68.000, 64.000
2.924, 30500,  7067,  7066, -31996, -31995, 69.000, 65.000
2.972, 31000,  5526,  5526, -32298, -32298, 69.000, 65.000
3.020, 31500,  3972,  3972, -32526, -32526, 69.000, 65.000
3.068, 32000,  2409,  2410, -32679, -32678, 70.000, 66.000
3.116, 32500,   840,   839, -32757, -32756, 71.000, 67.000
3.164, -32536,  -730,  -732, -32759, -32759, 73.000, 67.000
3.212, -32036, -2299, -2302, -32687, -32686, 76.000, 68.000
3.260, -31536, -3863, -3866, -32539, -32538, 79.000, 69.000
3.308, -31036, -5417, -5421, -32316, -32315, 83.000, 70.000
3.356, -30536, -6960, -6962, -32020, -32019, 85.000, 71.000
3.404, -30036, -8486, -8490, -31649, -31647, 89.000, 73.000
3.452, -29536, -9993, -9997, -31206, -31205, 93.000, 74.000
3.499, -29036, -11477, -11479, -30692, -30690, 95.000, 76.000
3.547, -28536, -12935, -12936, -30106, -30104, 96.000, 78.000
3.595, -28036, -14362, -14362, -29452, -29450, 96.000, 80.000
3.643, -27536, -15757, -15760, -28730, -28727, 99.000, 83.000
3.691, -27036, -17116, -17116, -27942, -27941, 99.000, 84.000
3.739, -26536, -18435, -18435, -27089, -27088, 99.000, 85.000
3.787, -26036, -19712, -19711, -26175, -26175, 100.000, 85.000
3.835, -25536, -20944, -20944, -25200, -25199, 100.000, 86.000
3.883, -25036, -22127, -22128, -24168, -24165, 101.000, 89.000
3.931, -24536, -23260, -23261, -23080, -23078, 102.000, 91.000
3.979, -24036, -24339, -24340, -21938, -21937, 103.000, 92.000
4.027, -23536, -25363, -25362, -20747, -20746, 104.000, 93.000
4.075, -23036, -26328, -26328, -19508, -19505, 104.000, 96.000
4.123, -22536, -27232, -27232, -18224, -18222, 104.000, 98.000
4.171, -22036, -28074, -28075, -16898, -16895, 105.000, 101.000
4.219, -21536, -28852, -28851, -15533, -15532, 106.000, 102.000
4.266, -21036, -29563, -29563, -14133, -14129, 106.000, 106.000
4.314, -20536, -30206, -30206, -12700, -12697, 106.000, 109.000
4.362, -20036, -30780, -30780, -11238, -11236, 106.000, 111.000
4.410, -19536, -31283, -31282, -9750, -9750, 107.000, 111.000
4.458, -19036, -31715, -31714, -8239, -8239, 108.000, 111.000
4.506, -18536, -32073, -32073, -6710, -6708, 108.000, 113.000
4.554, -18036, -32358, -32357, -5165, -5164, 109.000, 114.000
4.602, -17536, -32568, -32568, -3609, -3607, 109.000, 116.000
4.650, -17036, -32704, -32703, -2044, -2043, 110.000, 117.000
4.698, -16536, -32764, -32764,  -475,  -476, 110.000, 118.000
4.746, -16036, -32749, -32748,  1095,  1094, 111.000, 119.000
4.794, -15536, -32659, -32659,  2663,  2662, 111.000, 120.000
4.842, -15036, -32494, -32494,  4225,  4227, 111.000, 122.000
4.890, -14536, -32254, -32253,  5777,  5779, 112.000, 124.000
4.938, -14036, -31940, -31939,  7316,  7317, 113.000, 125.000
4.986, -13536, -31553, -31552,  8838,  8837, 114.000, 126.000
5.033, -13036, -31093, -31092, 10340, 10344, 115.000, 130.000
5.081, -12536, -30562, -30561, 11818, 11819, 116.000, 131.000
5.129, -12036, -29960, -29960, 13269, 13268, 116.000, 132.000
5.177, -11536, -29290, -29289, 14690, 14690, 117.000, 132.000
5.225, -11036, -28552, -28552, 16076, 16075, 117.000, 133.000
5.273, -10536, -27749, -27749, 17426, 17426, 117.000, 133.000
5.321, -10036, -26882, -26881, 18736, 18736, 118.000, 133.000
5.369, -9536, -25954, -25953, 20003, 20003, 119.000, 133.000
5.417, -9036, -24965, -24966, 21223, 21221, 120.000, 135.000
5.465, -8536, -23920, -23918, 22395, 22396, 122.000, 136.000
5.513, -8036, -22819, -22817, 23516, 23517, 124.000, 137.000
5.561, -7536, -21666, -21665, 24582, 24582, 125.000, 137.000
5.609, -7036, -20463, -20463, 25592, 25592, 125.000, 137.000
5.657, -6536, -19213, -19214, 26543, 26542, 126.000, 138.000
5.705, -6036, -17919, -17918, 27434, 27433, 127.000, 139.000
5.753, -5536, -16584, -16584, 28261, 28259, 127.000, 141.000
5.800, -5036, -15210, -15210, 29023, 29022, 127.000, 142.000
5.848, -4536, -13802, -13804, 29719, 29717, 129.000, 144.000
5.896, -4036, -12362, -12361, 30346, 30345, 130.000, 145.000
5.944, -3536, -10894, -10894, 30903, 30903, 130.000, 145.000
5.992, -3036, -9400, -9402, 31390, 31389, 132.000, 146.000
6.040, -2536, -7885, -7887, 31804, 31803, 134.000, 147.000
