theta_r, theta_q, sin_r, sin_q, cos_r, cos_q, sin_err, cos_err
0.000,     0,     0,     x, 65535,     x, 74.000, 6222.000
0.048,  2000,  3140,    74, 65459, 59313, 238.000, 11198.000
0.096,  4000,  6273,  2976, 65234, 60483, 238.000, 11200.000
0.144,  6000,  9392,  6273, 64858, 65232, 239.000, 11200.000
0.192,  8000, 12489,  9391, 64333, 64858, 244.000, 11200.000
0.240, 10000, 15557, 12494, 63661, 64333, 246.000, 11201.000
0.288, 12000, 18590, 15559, 62842, 63660, 249.000, 11201.000
0.336, 14000, 21580, 18593, 61879, 62842, 250.000, 11201.000
0.384, 16000, 24521, 21579, 60774, 61879, 253.000, 11202.000
0.431, 18000, 27405, 24518, 59529, 60773, 254.000, 11202.000
0.479, 20000, 30226, 27404, 58148, 59529, 255.000, 11203.000
0.527, 22000, 32978, 30225, 56632, 58147, 255.000, 11203.000
0.575, 24000, 35654, 32978, 54987, 56632, 259.000, 11205.000
0.623, 26000, 38248, 35650, 53215, 54989, 262.000, 11207.000
0.671, 28000, 40754, 38251, 51321, 53213, 263.000, 11207.000
0.719, 30000, 43166, 40755, 49309, 51321, 265.000, 11208.000
0.767, 32000, 45479, 43164, 47184, 49310, 265.000, 11210.000
0.815, 34000, 47688, 45479, 44951, 47186, 268.000, 11214.000
0.863, 36000, 49788, 47691, 42614, 44947, 268.000, 11216.000
0.911, 38000, 51772, 49788, 40179, 42612, 269.000, 11217.000
0.959, 40000, 53638, 51773, 37652, 40178, 272.000, 11221.000
1.007, 42000, 55381, 53635, 35038, 37656, 273.000, 11223.000
1.055, 44000, 56996, 55380, 32344, 35040, 274.000, 11224.000
1.103, 46000, 58481, 56997, 29576, 32343, 276.000, 11225.000
1.151, 48000, 59831, 58479, 26740, 29577, 276.000, 11227.000
1.198, 50000, 61044, 59831, 23842, 26738, 278.000, 11228.000
1.246, 52000, 62116, 61042, 20889, 23843, 279.000, 11231.000
1.294, 54000, 63046, 62117, 17889, 20886, 280.000, 11231.000
1.342, 56000, 63830, 63045, 14847, 17889, 281.000, 11233.000
1.390, 58000, 64469, 63829, 11771, 14849, 281.000, 11235.000
1.438, 60000, 64959, 64469,  8668, 11773, 281.000, 11239.000
1.486, 62000, 65299, 64959,  5546,  8672, 281.000, 11241.000
1.534, 64000, 65490, 65299,  2410,  5544, 56809.000, 11247.000
