mem = 00000, val = 00080
mem = 00001, val = 0007f
mem = 00002, val = 0007f
mem = 00003, val = 0007f
mem = 00004, val = 0007f
mem = 00005, val = 0007f
mem = 00006, val = 0007e
mem = 00007, val = 0007e
mem = 00008, val = 0007d
mem = 00009, val = 0007c
mem = 0000a, val = 0007c
mem = 0000b, val = 0007b
mem = 0000c, val = 0007a
mem = 0000d, val = 00079
mem = 0000e, val = 00078
mem = 0000f, val = 00077
mem = 00010, val = 00076
mem = 00011, val = 00075
mem = 00012, val = 00073
mem = 00013, val = 00072
mem = 00014, val = 00070
mem = 00015, val = 0006f
mem = 00016, val = 0006d
mem = 00017, val = 0006c
mem = 00018, val = 0006a
mem = 00019, val = 00068
mem = 0001a, val = 00066
mem = 0001b, val = 00064
mem = 0001c, val = 00062
mem = 0001d, val = 00060
mem = 0001e, val = 0005e
mem = 0001f, val = 0005c
mem = 00020, val = 0005a
mem = 00021, val = 00058
mem = 00022, val = 00055
mem = 00023, val = 00053
mem = 00024, val = 00051
mem = 00025, val = 0004e
mem = 00026, val = 0004c
mem = 00027, val = 00049
mem = 00028, val = 00047
mem = 00029, val = 00044
mem = 0002a, val = 00041
mem = 0002b, val = 0003f
mem = 0002c, val = 0003c
mem = 0002d, val = 00039
mem = 0002e, val = 00036
mem = 0002f, val = 00033
mem = 00030, val = 00030
mem = 00031, val = 0002e
mem = 00032, val = 0002b
mem = 00033, val = 00028
mem = 00034, val = 00025
mem = 00035, val = 00022
mem = 00036, val = 0001f
mem = 00037, val = 0001c
mem = 00038, val = 00018
mem = 00039, val = 00015
mem = 0003a, val = 00012
mem = 0003b, val = 0000f
mem = 0003c, val = 0000c
mem = 0003d, val = 00009
mem = 0003e, val = 00006
mem = 0003f, val = 00003
mem = 00040, val = 00000
mem = 00041, val = 000fd
mem = 00042, val = 000fa
mem = 00043, val = 000f7
mem = 00044, val = 000f4
mem = 00045, val = 000f1
mem = 00046, val = 000ee
mem = 00047, val = 000eb
mem = 00048, val = 000e8
mem = 00049, val = 000e4
mem = 0004a, val = 000e1
mem = 0004b, val = 000de
mem = 0004c, val = 000db
mem = 0004d, val = 000d8
mem = 0004e, val = 000d5
mem = 0004f, val = 000d2
mem = 00050, val = 000d0
mem = 00051, val = 000cd
mem = 00052, val = 000ca
mem = 00053, val = 000c7
mem = 00054, val = 000c4
mem = 00055, val = 000c1
mem = 00056, val = 000bf
