net,length_um
net340,589.695µm
_0975_,562.83µm
_0946_,553.32µm
_0947_,522.48µm
_0258_,511.26µm
_0950_,449.2µm
_2014_,441.38µm
clknet_0_clk,423.5µm
_1981_,359.46µm
_1975_,308.415µm
clknet_3_7__leaf_clk,287.16µm
_1970_,280.93µm
_0951_,263.06µm
_1985_,258.99µm
_2017_,256.73µm
_1968_,245.5µm
_2006_,244.78µm
net182,242.71µm
_1971_,231.37µm
net184,229.79µm
net168,224.79µm
net176,223.37µm
net174,214.67µm
_1792_,212.6µm
_1978_,211.17µm
_1654_,204.42µm
net181,203.86µm
net2,203.135µm
net104,201.74µm
clknet_3_5__leaf_clk,201.7µm
net128,200.24µm
_1989_,198.22µm
_1888_,195.5µm
net81,193.11µm
clknet_3_4__leaf_clk,191.68µm
clknet_3_0__leaf_clk,186.74µm
clknet_3_1__leaf_clk,186.62µm
_1793_,185.32µm
net126,177.2µm
clk,173.87µm
net77,171.47µm
clknet_3_6__leaf_clk,171.075µm
net173,169.95µm
clknet_3_2__leaf_clk,168.175µm
net175,167.75µm
net166,164.1µm
net118,161.21µm
clknet_3_3__leaf_clk,157.66µm
_1762_,156.41µm
net122,153.24µm
_1790_,151.8µm
net75,151.7µm
net170,151.23µm
net179,150.28µm
net169,147.86µm
net129,147.31µm
_1830_,146.435µm
net167,144.68µm
net82,141.805µm
net79,138.615µm
net84,138.47µm
net76,137.62µm
net116,135.965µm
net120,135.56µm
net72,132.825µm
net68,130.32µm
net93,129.82µm
net183,129.38µm
net141,128.81µm
net125,128.25µm
_1803_,127.525µm
net161,126.86µm
_2170_,124.36µm
net83,124.16µm
net131,123.42µm
net74,122.12µm
_1839_,120.13µm
net95,119.52µm
net172,119.505µm
net132,119.275µm
_1808_,118.675µm
net135,118.48µm
net115,117.035µm
net124,116.33µm
net63,115.67µm
net151,114.81µm
net138,113.95µm
net106,112.98µm
net147,112.36µm
net99,112.1µm
_1935_,110.04µm
net177,109.97µm
net110,109.77µm
net109,109.1µm
net341,108.88µm
net85,107.445µm
vec\[0\]\[3\],107.42µm
net134,107.1µm
net163,106.92µm
net165,106.73µm
net139,106.3µm
net113,105.345µm
net121,105.32µm
net156,105.215µm
_0434_,105.2µm
net158,103.525µm
_1794_,103.4µm
_1842_,103.1µm
net66,102.93µm
_0924_,102.3µm
net150,101.4µm
net146,101.365µm
net87,100.96µm
_1001_,100.42µm
net55,100.255µm
_1841_,100.23µm
net65,99.5µm
net145,99.48µm
_0259_,99.26µm
net70,99.16µm
net100,99.14µm
net103,99.13µm
_0554_,98.555µm
net159,98.38µm
net69,98.26µm
net153,97.88µm
net160,97.78µm
