Instance name, X location, Y location, Voltage
_4714_, 175.44, 231.2, 1.79956
output26, 175.44, 231.2, 1.79956
output30, 175.44, 231.2, 1.79956
FILLER_0_81_361, 175.44, 231.2, 1.79956
FILLER_0_81_377, 175.44, 231.2, 1.79956
_3814_, 175.44, 225.76, 1.7983
_4607__21, 175.44, 225.76, 1.7983
hold32, 175.44, 225.76, 1.7983
ANTENNA_1, 175.44, 225.76, 1.7983
FILLER_0_78_365, 175.44, 225.76, 1.7983
FILLER_0_79_369, 175.44, 225.76, 1.7983
FILLER_0_79_382, 175.44, 225.76, 1.7983
_3388_, 175.44, 220.32, 1.79799
FILLER_0_76_361, 175.44, 220.32, 1.79799
FILLER_0_77_359, 175.44, 220.32, 1.79799
FILLER_0_77_367, 175.44, 220.32, 1.79799
FILLER_0_77_375, 175.44, 220.32, 1.79799
FILLER_0_77_383, 175.44, 220.32, 1.79799
FILLER_0_78_373, 175.44, 220.32, 1.79799
FILLER_0_78_381, 175.44, 220.32, 1.79799
_3385_, 175.44, 214.88, 1.79855
_3389_, 175.44, 214.88, 1.79855
_3413_, 175.44, 214.88, 1.79855
FILLER_0_74_356, 175.44, 214.88, 1.79855
FILLER_0_74_365, 175.44, 214.88, 1.79855
FILLER_0_75_360, 175.44, 214.88, 1.79855
FILLER_0_75_381, 175.44, 214.88, 1.79855
FILLER_0_76_375, 175.44, 214.88, 1.79855
FILLER_0_76_383, 175.44, 214.88, 1.79855
_3376_, 175.44, 209.44, 1.79864
_3377_, 175.44, 209.44, 1.79864
_3378_, 175.44, 209.44, 1.79864
_3381_, 175.44, 209.44, 1.79864
_3383_, 175.44, 209.44, 1.79864
_3384_, 175.44, 209.44, 1.79864
_3428_, 175.44, 209.44, 1.79864
_3429_, 175.44, 209.44, 1.79864
_3430_, 175.44, 209.44, 1.79864
FILLER_0_73_358, 175.44, 209.44, 1.79864
FILLER_0_73_366, 175.44, 209.44, 1.79864
FILLER_0_73_382, 175.44, 209.44, 1.79864
_3366_, 175.44, 204, 1.79881
_3375_, 175.44, 204, 1.79881
_3379_, 175.44, 204, 1.79881
_3380_, 175.44, 204, 1.79881
_3382_, 175.44, 204, 1.79881
_3431_, 175.44, 204, 1.79881
FILLER_0_71_358, 175.44, 204, 1.79881
_3364_, 175.44, 198.56, 1.79826
_3368_, 175.44, 198.56, 1.79826
_3432_, 175.44, 198.56, 1.79826
_3445_, 175.44, 198.56, 1.79826
FILLER_0_69_368, 175.44, 198.56, 1.79826
FILLER_0_69_376, 175.44, 198.56, 1.79826
FILLER_0_70_370, 175.44, 198.56, 1.79826
FILLER_0_70_378, 175.44, 198.56, 1.79826
_3425_, 175.44, 193.12, 1.79842
_3426_, 175.44, 193.12, 1.79842
_3442_, 175.44, 193.12, 1.79842
_3459_, 175.44, 193.12, 1.79842
FILLER_0_66_358, 175.44, 193.12, 1.79842
FILLER_0_67_356, 175.44, 193.12, 1.79842
FILLER_0_67_364, 175.44, 193.12, 1.79842
FILLER_0_67_372, 175.44, 193.12, 1.79842
_3420_, 175.44, 187.68, 1.79849
_3421_, 175.44, 187.68, 1.79849
_3422_, 175.44, 187.68, 1.79849
_3443_, 175.44, 187.68, 1.79849
_3484_, 175.44, 187.68, 1.79849
FILLER_0_64_357, 175.44, 187.68, 1.79849
FILLER_0_65_370, 175.44, 187.68, 1.79849
FILLER_0_65_378, 175.44, 187.68, 1.79849
FILLER_0_66_376, 175.44, 187.68, 1.79849
FILLER_0_66_382, 175.44, 187.68, 1.79849
_3469_, 175.44, 182.24, 1.79877
_3470_, 175.44, 182.24, 1.79877
_3473_, 175.44, 182.24, 1.79877
_3526_, 175.44, 182.24, 1.79877
FILLER_0_62_359, 175.44, 182.24, 1.79877
FILLER_0_62_365, 175.44, 182.24, 1.79877
FILLER_0_63_368, 175.44, 182.24, 1.79877
FILLER_0_64_374, 175.44, 182.24, 1.79877
FILLER_0_64_382, 175.44, 182.24, 1.79877
_3373_, 175.44, 176.8, 1.79878
_3468_, 175.44, 176.8, 1.79878
_3535_, 175.44, 176.8, 1.79878
FILLER_0_60_360, 175.44, 176.8, 1.79878
FILLER_0_60_365, 175.44, 176.8, 1.79878
FILLER_0_61_370, 175.44, 176.8, 1.79878
FILLER_0_61_378, 175.44, 176.8, 1.79878
FILLER_0_62_380, 175.44, 176.8, 1.79878
_3472_, 175.44, 171.36, 1.79848
_3536_, 175.44, 171.36, 1.79848
_3537_, 175.44, 171.36, 1.79848
_3563_, 175.44, 171.36, 1.79848
FILLER_0_59_370, 175.44, 171.36, 1.79848
FILLER_0_59_378, 175.44, 171.36, 1.79848
_3510_, 175.44, 165.92, 1.79911
_3511_, 175.44, 165.92, 1.79911
_3512_, 175.44, 165.92, 1.79911
FILLER_0_56_365, 175.44, 165.92, 1.79911
FILLER_0_57_365, 175.44, 165.92, 1.79911
FILLER_0_57_373, 175.44, 165.92, 1.79911
FILLER_0_57_383, 175.44, 165.92, 1.79911
FILLER_0_58_378, 175.44, 165.92, 1.79911
_3508_, 175.44, 160.48, 1.79887
_3509_, 175.44, 160.48, 1.79887
_3513_, 175.44, 160.48, 1.79887
_3514_, 175.44, 160.48, 1.79887
_3515_, 175.44, 160.48, 1.79887
_3684_, 175.44, 160.48, 1.79887
FILLER_0_55_363, 175.44, 160.48, 1.79887
FILLER_0_56_373, 175.44, 160.48, 1.79887
FILLER_0_56_381, 175.44, 160.48, 1.79887
_3556_, 175.44, 155.04, 1.79881
_3685_, 175.44, 155.04, 1.79881
_3690_, 175.44, 155.04, 1.79881
_3701_, 175.44, 155.04, 1.79881
FILLER_0_52_361, 175.44, 155.04, 1.79881
FILLER_0_53_359, 175.44, 155.04, 1.79881
FILLER_0_53_379, 175.44, 155.04, 1.79881
_3639_, 175.44, 149.6, 1.79881
_3708_, 175.44, 149.6, 1.79881
FILLER_0_50_356, 175.44, 149.6, 1.79881
FILLER_0_50_365, 175.44, 149.6, 1.79881
FILLER_0_51_358, 175.44, 149.6, 1.79881
FILLER_0_51_366, 175.44, 149.6, 1.79881
FILLER_0_51_374, 175.44, 149.6, 1.79881
FILLER_0_51_382, 175.44, 149.6, 1.79881
FILLER_0_52_379, 175.44, 149.6, 1.79881
_3638_, 175.44, 144.16, 1.79892
_3640_, 175.44, 144.16, 1.79892
_3645_, 175.44, 144.16, 1.79892
_3646_, 175.44, 144.16, 1.79892
_3647_, 175.44, 144.16, 1.79892
_3648_, 175.44, 144.16, 1.79892
FILLER_0_48_361, 175.44, 144.16, 1.79892
FILLER_0_49_360, 175.44, 144.16, 1.79892
FILLER_0_49_380, 175.44, 144.16, 1.79892
_3635_, 175.44, 138.72, 1.79902
