Metric,Value
design__lint_errors__count,0
design__lint_timing_constructs__count,0
design__lint_warnings__count,34
design__latch__count,0
design__instance__count,19622
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,29
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.019377168267965317
power__switching__total,0.024085937067866325
power__leakage__total,2.065240067850027e-07
power__total,0.04346330836415291
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.260923
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.260923
timing__hold__ws__corner:nom_tt_025C_1v80,0.290182
timing__setup__ws__corner:nom_tt_025C_1v80,16.502998
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,48
design__max_fanout_violation__count,261
design__max_cap_violation__count,0
clock__skew__worst_hold,0.470197
clock__skew__worst_setup,0.470197
timing__hold__ws,0.087167
timing__setup__ws,7.943902
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 563.495 574.215
design__core__bbox,5.52 10.88 557.52 563.04
design__io,11
design__die__area,323567
design__core__area,304792
design__instance__area,149287
design__instance__count__stdcell,19622
design__instance__area__stdcell,149287
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.489799
design__instance__utilization__stdcell,0.489799
floorplan__design__io,9
design__io__hpwl,3558850
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,369577
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,13
antenna__violating__pins,13
antenna__count,21
route__net,15274
route__net__special,2
