Metric,Value
design__lint_errors__count,0
design__lint_timing_constructs__count,0
design__lint_warnings__count,8
design__latch__count,0
design__instance__count,13015
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0469294898211956
power__switching__total,0.0667572021484375
power__leakage__total,1.1267879074239318e-07
power__total,0.11368680745363235
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.062673
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.062673
timing__hold__ws__corner:nom_tt_025C_1v80,0.342026
timing__setup__ws__corner:nom_tt_025C_1v80,-9.101011
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-333.545166
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,-9.101011
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,57
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,267
design__max_fanout_violation__count,63
design__max_cap_violation__count,0
clock__skew__worst_hold,0.108111
clock__skew__worst_setup,0.108111
timing__hold__ws,0.115248
timing__setup__ws,-25.505159
timing__hold__tns,0.0
timing__setup__tns,-4401.697956
timing__hold__wns,0.0
timing__setup__wns,-25.505159
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,469
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 442.7 453.42
design__core__bbox,5.52 10.88 437.0 440.64
design__io,101
design__die__area,200729
design__core__area,185433
design__instance__area,82071.2
design__instance__count__stdcell,13015
design__instance__area__stdcell,82071.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.442593
design__instance__utilization__stdcell,0.442593
floorplan__design__io,99
design__io__hpwl,14169038
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,196.94
design__instance__displacement__mean,0.014
design__instance__displacement__max,8.74
route__wirelength__estimated,241084
design__violations,0
design__instance__count__setup_buffer,4
design__instance__count__hold_buffer,0
antenna__violating__nets,10
antenna__violating__pins,12
