mem = 00000000, PASS
mem = 00000001, PASS
mem = 00000002, PASS
mem = 00000003, PASS
mem = 00000004, PASS
mem = 00000005, PASS
mem = 00000006, PASS
mem = 00000007, PASS
mem = 00000008, PASS
mem = 00000009, PASS
mem = 0000000a, PASS
mem = 0000000b, PASS
mem = 0000000c, PASS
mem = 0000000d, PASS
mem = 0000000e, PASS
mem = 0000000f, PASS
mem = 00000010, PASS
mem = 00000011, PASS
mem = 00000012, PASS
mem = 00000013, PASS
mem = 00000014, PASS
mem = 00000015, PASS
mem = 00000016, PASS
mem = 00000017, PASS
mem = 00000018, PASS
mem = 00000019, PASS
mem = 0000001a, PASS
mem = 0000001b, PASS
mem = 0000001c, PASS
mem = 0000001d, PASS
mem = 0000001e, PASS
mem = 0000001f, PASS
mem = 00000020, PASS
mem = 00000021, PASS
mem = 00000022, PASS
mem = 00000023, PASS
mem = 00000024, PASS
mem = 00000025, PASS
mem = 00000026, PASS
mem = 00000027, PASS
mem = 00000028, PASS
mem = 00000029, PASS
mem = 0000002a, PASS
mem = 0000002b, PASS
mem = 0000002c, PASS
mem = 0000002d, PASS
mem = 0000002e, PASS
mem = 0000002f, PASS
mem = 00000030, PASS
mem = 00000031, PASS
mem = 00000032, PASS
mem = 00000033, PASS
mem = 00000034, PASS
mem = 00000035, PASS
mem = 00000036, PASS
mem = 00000037, PASS
mem = 00000038, PASS
mem = 00000039, PASS
mem = 0000003a, PASS
mem = 0000003b, PASS
mem = 0000003c, PASS
mem = 0000003d, PASS
mem = 0000003e, PASS
mem = 0000003f, PASS
mem = 00000040, PASS
mem = 00000041, PASS
mem = 00000042, PASS
mem = 00000043, PASS
mem = 00000044, PASS
mem = 00000045, PASS
mem = 00000046, PASS
mem = 00000047, PASS
mem = 00000048, PASS
mem = 00000049, PASS
mem = 0000004a, PASS
mem = 0000004b, PASS
mem = 0000004c, PASS
mem = 0000004d, PASS
mem = 0000004e, PASS
mem = 0000004f, PASS
mem = 00000050, PASS
