net,length_um
_1236_,420.83µm
net87,352µm
net118,344.54µm
net154,329.24µm
net122,313.3µm
_1386_,290.555µm
net109,281.42µm
_1266_,275.035µm
_1251_,273.28µm
net150,272.43µm
net98,261.14µm
net300,253.94µm
net91,244.77µm
net134,241.53µm
net126,240.32µm
net92,238µm
_1392_,237.22µm
state\[2\],233.12µm
_1272_,231.84µm
_1284_,228.9µm
net86,228.58µm
_1310_,221.54µm
_1413_,219.8µm
clknet_0_clk,218.58µm
_1282_,210µm
net97,208.48µm
_1311_,207.05µm
_1252_,205.94µm
net302,201.34µm
net89,197.12µm
_1240_,194.4µm
net146,192.02µm
net299,191.96µm
_1391_,189.12µm
_1520_,187.905µm
_1253_,187.75µm
net130,187.27µm
_1277_,186.62µm
net7,185.96µm
net178,183.06µm
_1345_,181.38µm
net80,175.36µm
net81,175.18µm
net301,174.96µm
clknet_3_5__leaf_clk,172.84µm
net14,171.39µm
_1245_,170.45µm
_1408_,169.66µm
net152,169.27µm
_1621_,167.96µm
net158,166.675µm
net125,165.65µm
net11,164.58µm
net13,164.57µm
net147,163.47µm
net149,163.46µm
net79,161.9µm
net177,161.74µm
net151,159.1µm
net117,158.74µm
net174,156.5µm
_1287_,155.36µm
net138,155.14µm
_1239_,154.72µm
net106,154.28µm
net156,152.95µm
net105,152.6µm
_1286_,148.9µm
net144,148.02µm
net121,147.86µm
clknet_3_6__leaf_clk,147.78µm
net85,145.42µm
net82,145µm
net168,144.88µm
net162,144.71µm
net119,143.62µm
net131,143.5µm
clknet_3_3__leaf_clk,143.435µm
net171,143.14µm
counter\[8\],141.12µm
_1244_,140.88µm
clknet_3_7__leaf_clk,140.68µm
net101,140.6µm
clknet_3_2__leaf_clk,139.02µm
net127,138.74µm
_1638_,138.16µm
net132,137.38µm
_1613_,134.775µm
_1513_,132.29µm
_1385_,131.9µm
_1615_,129µm
net102,128.41µm
net123,127.82µm
net96,127.1µm
_1692_,126.435µm
_1002_,125.88µm
_1271_,125.34µm
net116,124.95µm
net139,124.86µm
net157,124.02µm
clk,122.89µm
_1412_,122.65µm
net165,122.22µm
_1309_,121.71µm
net166,120.69µm
net142,120.63µm
net145,120.53µm
_1675_,119.71µm
net173,119.58µm
counter\[7\],119.45µm
_1265_,118.97µm
net78,117.5µm
net112,117.39µm
_1746_,116.815µm
net104,115.32µm
_1000_,114.94µm
net88,114.56µm
net161,113.66µm
_1235_,113.42µm
net100,113.36µm
net124,113.34µm
net84,113.23µm
net175,112.76µm
net148,112.69µm
net90,112.48µm
net128,112.155µm
net15,111.58µm
net170,111.14µm
net167,110.985µm
net163,110.06µm
clknet_3_4__leaf_clk,110.05µm
net153,109.63µm
net107,108.98µm
counter\[3\],107.71µm
counter\[15\],107.37µm
net103,107.01µm
net159,106.74µm
_0867_,105.99µm
net9,104.48µm
net135,103.59µm
net99,102.08µm
net12,101.78µm
net140,101.06µm
net137,100.59µm
counter\[5\],100.1µm
net172,100.02µm
net83,100µm
counter\[9\],97.58µm
_1656_,95.94µm
_1674_,94.835µm
net133,94.48µm
_1264_,93.82µm
counter\[2\],93.42µm
_0862_,92.96µm
_0875_,92.92µm
net115,90.97µm
net160,90.26µm
net164,90.14µm
net155,89.66µm
_1637_,89.22µm
_0870_,88.92µm
_1005_,84.38µm
net169,84.1µm
_1384_,84.08µm
_0959_,83.105µm
_0915_,82.8µm
net114,82.4µm
counter\[4\],81.6µm
_1653_,80.96µm
clknet_3_1__leaf_clk,80.62µm
net120,80.19µm
net176,79.72µm
clknet_3_0__leaf_clk,79.28µm
net113,79.2µm
_0916_,78.46µm
_0877_,76.38µm
net136,75.1µm
net143,71.52µm
_1414_,71.36µm
counter\[0\],70.7µm
_0590_,70.48µm
net94,70.48µm
counter\[11\],70.44µm
_1270_,70.1µm
_1647_,67.86µm
_1643_,67µm
counter\[12\],66.28µm
net108,65.56µm
counter\[13\],65.2µm
_1175_,65.04µm
net110,64.25µm
_1417_,63.6µm
_1782_,63.56µm
_0942_,62.57µm
calc_ready,62.39µm
delta\[0\],62.24µm
net93,62.02µm
_1519_,61.5µm
net129,61µm
_0820_,60.82µm
_1044_,60.545µm
_0980_,60.28µm
_1403_,59.02µm
_1655_,58.005µm
