Instance name, X location, Y location, Voltage
FILLER_0_70_357, 175.44, 204, 1.8
FILLER_0_70_365, 175.44, 204, 1.8
FILLER_0_71_361, 175.44, 204, 1.8
FILLER_0_71_365, 175.44, 204, 1.8
FILLER_0_71_373, 175.44, 204, 1.8
FILLER_0_71_381, 175.44, 204, 1.8
_3750__33, 175.44, 198.56, 1.79997
FILLER_0_68_358, 175.44, 198.56, 1.79997
FILLER_0_68_365, 175.44, 198.56, 1.79997
FILLER_0_69_361, 175.44, 198.56, 1.79997
FILLER_0_69_369, 175.44, 198.56, 1.79997
FILLER_0_69_377, 175.44, 198.56, 1.79997
FILLER_0_70_373, 175.44, 198.56, 1.79997
FILLER_0_70_381, 175.44, 198.56, 1.79997
_3532_, 175.44, 193.12, 1.79978
_3539_, 175.44, 193.12, 1.79978
_3838_, 175.44, 193.12, 1.79978
FILLER_0_66_360, 175.44, 193.12, 1.79978
FILLER_0_67_381, 175.44, 193.12, 1.79978
FILLER_0_68_373, 175.44, 193.12, 1.79978
FILLER_0_68_381, 175.44, 193.12, 1.79978
_3505_, 175.44, 187.68, 1.79977
_3533_, 175.44, 187.68, 1.79977
_3534_, 175.44, 187.68, 1.79977
_3535_, 175.44, 187.68, 1.79977
fanout82, 175.44, 187.68, 1.79977
FILLER_0_64_356, 175.44, 187.68, 1.79977
FILLER_0_65_356, 175.44, 187.68, 1.79977
FILLER_0_66_373, 175.44, 187.68, 1.79977
FILLER_0_66_383, 175.44, 187.68, 1.79977
_3473_, 175.44, 182.24, 1.79975
_3504_, 175.44, 182.24, 1.79975
_3529_, 175.44, 182.24, 1.79975
_3839_, 175.44, 182.24, 1.79975
FILLER_0_62_365, 175.44, 182.24, 1.79975
FILLER_0_63_360, 175.44, 182.24, 1.79975
FILLER_0_63_368, 175.44, 182.24, 1.79975
FILLER_0_63_376, 175.44, 182.24, 1.79975
FILLER_0_63_384, 175.44, 182.24, 1.79975
FILLER_0_64_377, 175.44, 182.24, 1.79975
_3341_, 175.44, 176.8, 1.79971
_3506_, 175.44, 176.8, 1.79971
_3507_, 175.44, 176.8, 1.79971
_3528_, 175.44, 176.8, 1.79971
_3530_, 175.44, 176.8, 1.79971
_3531_, 175.44, 176.8, 1.79971
_3752__35, 175.44, 176.8, 1.79971
_3840_, 175.44, 176.8, 1.79971
FILLER_0_61_364, 175.44, 176.8, 1.79971
FILLER_0_61_382, 175.44, 176.8, 1.79971
_3508_, 175.44, 171.36, 1.7995
_3509_, 175.44, 171.36, 1.7995
_3525_, 175.44, 171.36, 1.7995
_3526_, 175.44, 171.36, 1.7995
fanout81, 175.44, 171.36, 1.7995
FILLER_0_58_365, 175.44, 171.36, 1.7995
FILLER_0_59_362, 175.44, 171.36, 1.7995
FILLER_0_60_378, 175.44, 171.36, 1.7995
_3471_, 175.44, 165.92, 1.79974
_3472_, 175.44, 165.92, 1.79974
_3510_, 175.44, 165.92, 1.79974
_3511_, 175.44, 165.92, 1.79974
_3524_, 175.44, 165.92, 1.79974
FILLER_0_56_360, 175.44, 165.92, 1.79974
FILLER_0_57_358, 175.44, 165.92, 1.79974
FILLER_0_57_369, 175.44, 165.92, 1.79974
FILLER_0_57_377, 175.44, 165.92, 1.79974
FILLER_0_58_382, 175.44, 165.92, 1.79974
_3512_, 175.44, 160.48, 1.79966
_3517_, 175.44, 160.48, 1.79966
_3519_, 175.44, 160.48, 1.79966
_3520_, 175.44, 160.48, 1.79966
_3521_, 175.44, 160.48, 1.79966
_3522_, 175.44, 160.48, 1.79966
_3755__38, 175.44, 160.48, 1.79966
_3843_, 175.44, 160.48, 1.79966
FILLER_0_55_378, 175.44, 160.48, 1.79966
FILLER_0_56_380, 175.44, 160.48, 1.79966
_3518_, 175.44, 155.04, 1.79966
