Metric,Value
design__lint_errors__count,0
design__lint_timing_constructs__count,0
design__lint_warnings__count,4
design__latch__count,0
design__instance__count,2776
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0026374226436018944
power__switching__total,0.0027610452380031347
power__leakage__total,2.532217457940078e-08
power__total,0.005398493260145187
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.019831
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.019831
timing__hold__ws__corner:nom_tt_025C_1v80,0.315638
timing__setup__ws__corner:nom_tt_025C_1v80,-2.634207
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,-141.073151
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,-2.634207
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,64
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,63
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.013892
clock__skew__worst_setup,-0.013892
timing__hold__ws,0.096168
timing__setup__ws,-7.881222
timing__hold__tns,0.0
timing__setup__tns,-1884.1083740000001
timing__hold__wns,0.0
timing__setup__wns,-7.881222
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,532
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 209.44 220.16
design__core__bbox,5.52 10.88 203.78 206.72
design__io,74
design__die__area,46110.3
design__core__area,38827.2
design__instance__area,19179.6
design__instance__count__stdcell,2776
design__instance__area__stdcell,19179.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.493974
design__instance__utilization__stdcell,0.493974
floorplan__design__io,72
design__io__hpwl,7785091
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,212.66
design__instance__displacement__mean,0.072
design__instance__displacement__max,6.86
route__wirelength__estimated,46670.6
design__violations,0
design__instance__count__setup_buffer,3
design__instance__count__hold_buffer,0
antenna__violating__nets,1
