Metric,Value
design__lint_errors__count,0
design__lint_timing_constructs__count,0
design__lint_warnings__count,37
design__latch__count,0
design__instance__count,26843
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,23
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00045063815196044743
power__switching__total,0.0004807253135368228
power__leakage__total,1.6439533112588833e-07
power__total,0.0009315278148278594
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.248656
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.248656
timing__hold__ws__corner:nom_tt_025C_1v80,0.307266
timing__setup__ws__corner:nom_tt_025C_1v80,795.118042
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,207
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.168286
clock__skew__worst_setup,-0.168286
timing__hold__ws,0.090568
timing__setup__ws,790.325562
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0.0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 548.51 559.23
design__core__bbox,5.52 10.88 542.8 546.72
design__io,171
design__die__area,306743
design__core__area,287896
design__instance__area,164609
design__instance__count__stdcell,26843
design__instance__area__stdcell,164609
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.571766
design__instance__utilization__stdcell,0.571766
floorplan__design__io,169
design__io__hpwl,31412618
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,409382
design__violations,0
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
antenna__count,1
route__net,22927
